nm,P,B1,B2,B3,B4
400,1.46E-06,1.97E-07,2.15E-07,2.92E-06,1.03E-06
401,1.71E-06,1.64E-07,1.87E-07,2.49E-06,7.79E-07
402,1.77E-06,6.58E-07,3.14E-07,2.11E-06,4.73E-07
403,1.70E-06,4.60E-07,2.48E-07,1.72E-06,2.46E-07
404,1.46E-06,3.87E-07,1.70E-07,2.34E-06,5.34E-07
405,1.44E-06,2.66E-07,2.53E-07,2.73E-06,9.92E-07
406,1.59E-06,8.76E-07,3.26E-07,2.57E-06,1.38E-06
407,1.66E-06,1.26E-06,2.95E-07,2.82E-06,1.52E-06
408,2.07E-06,7.29E-07,4.34E-07,2.56E-06,1.30E-06
409,3.04E-06,5.60E-07,6.39E-07,5.55E-06,9.65E-07
410,3.53E-06,1.85E-07,5.52E-07,6.03E-06,1.46E-06
411,3.35E-06,4.05E-07,2.88E-07,6.64E-06,2.02E-06
412,2.50E-06,3.89E-07,1.26E-07,2.59E-06,3.41E-06
413,1.15E-06,7.44E-07,1.36E-07,4.25E-06,4.39E-06
414,6.44E-07,1.05E-06,4.70E-07,5.64E-06,4.77E-06
415,1.92E-06,1.05E-06,5.99E-07,2.39E-06,4.39E-06
416,3.29E-06,1.58E-06,1.39E-06,2.64E-06,3.79E-06
417,4.43E-06,2.03E-06,1.87E-06,2.04E-06,4.26E-06
418,5.90E-06,8.15E-07,1.60E-06,3.32E-06,4.64E-06
419,6.93E-06,8.35E-07,1.16E-06,6.00E-06,4.71E-06
420,7.34E-06,4.72E-07,4.00E-07,5.32E-06,4.90E-06
421,6.79E-06,2.25E-07,1.73E-07,4.38E-06,5.75E-06
422,5.36E-06,7.06E-08,1.31E-07,2.38E-06,5.40E-06
423,3.20E-06,1.38E-07,7.18E-08,3.63E-06,3.79E-06
424,2.79E-06,8.03E-08,9.60E-08,6.39E-06,1.15E-06
425,4.67E-06,3.35E-07,9.54E-08,7.51E-06,2.12E-06
426,5.91E-06,4.62E-07,2.30E-07,7.92E-06,5.53E-06
427,6.31E-06,1.41E-06,6.82E-07,1.78E-06,8.53E-06
428,6.64E-06,3.30E-06,2.98E-06,2.44E-06,1.07E-05
429,7.23E-06,9.36E-07,3.42E-06,2.84E-06,1.17E-05
430,8.04E-06,1.21E-05,4.83E-06,2.38E-06,1.10E-05
431,1.01E-05,1.15E-05,1.64E-05,9.98E-06,1.03E-05
432,1.39E-05,2.12E-05,1.70E-05,7.00E-06,1.20E-05
433,1.94E-05,4.15E-05,1.45E-05,9.80E-06,1.28E-05
434,2.61E-05,7.06E-05,6.48E-06,1.58E-05,1.26E-05
435,3.31E-05,1.41E-04,1.98E-05,2.34E-05,1.19E-05
436,4.13E-05,2.23E-04,4.83E-06,2.81E-05,1.09E-05
437,5.32E-05,2.01E-04,5.62E-06,3.13E-05,9.77E-06
438,7.58E-05,1.47E-04,6.15E-06,1.51E-05,8.65E-06
439,1.18E-04,1.14E-04,2.07E-05,1.93E-05,7.27E-06
440,1.92E-04,1.96E-04,1.56E-05,2.23E-05,5.30E-06
441,3.05E-04,3.54E-04,1.28E-05,2.50E-05,2.10E-06
442,4.62E-04,7.84E-04,1.02E-05,2.47E-05,3.33E-06
443,6.64E-04,1.70E-03,1.39E-05,3.00E-05,1.27E-05
444,9.21E-04,3.06E-03,2.65E-05,3.84E-05,2.86E-05
445,1.28E-03,4.15E-03,1.69E-05,5.85E-05,5.42E-05
446,1.84E-03,4.58E-03,2.26E-05,7.57E-05,9.23E-05
447,2.72E-03,4.93E-03,3.78E-05,1.06E-04,1.42E-04
448,4.07E-03,6.39E-03,5.30E-05,1.32E-04,2.02E-04
449,6.00E-03,1.08E-02,1.07E-04,1.88E-04,2.68E-04
450,8.55E-03,2.08E-02,1.46E-04,2.68E-04,3.35E-04
451,1.16E-02,3.74E-02,1.90E-04,3.63E-04,4.02E-04
452,1.53E-02,5.51E-02,2.82E-04,4.81E-04,4.77E-04
453,1.99E-02,6.70E-02,3.74E-04,5.75E-04,5.71E-04
454,2.59E-02,7.35E-02,4.10E-04,6.18E-04,6.90E-04
455,3.35E-02,8.59E-02,3.83E-04,6.71E-04,8.30E-04
456,4.27E-02,1.17E-01,3.69E-04,7.61E-04,9.69E-04
457,5.29E-02,1.70E-01,3.54E-04,8.76E-04,1.08E-03
458,6.39E-02,2.36E-01,3.36E-04,1.07E-03,1.14E-03
459,7.39E-02,2.86E-01,3.51E-04,1.33E-03,1.15E-03
460,8.32E-02,3.03E-01,3.82E-04,1.68E-03,1.10E-03
461,9.20E-02,2.98E-01,4.15E-04,2.22E-03,1.05E-03
462,1.02E-01,3.02E-01,4.39E-04,3.04E-03,1.04E-03
463,1.13E-01,3.28E-01,4.81E-04,3.90E-03,1.09E-03
464,1.25E-01,3.78E-01,5.57E-04,4.01E-03,1.25E-03
465,1.38E-01,4.40E-01,6.17E-04,3.07E-03,1.51E-03
466,1.50E-01,4.92E-01,6.62E-04,1.98E-03,1.82E-03
467,1.60E-01,5.23E-01,6.93E-04,1.33E-03,2.12E-03
468,1.69E-01,5.39E-01,6.86E-04,9.53E-04,2.34E-03
469,1.78E-01,5.53E-01,6.79E-04,6.86E-04,2.44E-03
470,1.88E-01,5.80E-01,6.66E-04,4.78E-04,2.39E-03
471,1.96E-01,6.16E-01,6.95E-04,3.34E-04,2.21E-03
472,2.03E-01,6.56E-01,7.37E-04,2.39E-04,1.97E-03
473,2.11E-01,6.95E-01,8.13E-04,1.79E-04,1.73E-03
474,2.16E-01,7.16E-01,9.28E-04,1.43E-04,1.51E-03
475,2.20E-01,7.26E-01,1.09E-03,1.35E-04,1.32E-03
476,2.25E-01,7.33E-01,1.29E-03,1.41E-04,1.15E-03
477,2.28E-01,7.41E-01,1.53E-03,1.75E-04,9.86E-04
478,2.33E-01,7.55E-01,1.69E-03,2.16E-04,8.26E-04
479,2.38E-01,7.78E-01,1.68E-03,2.93E-04,6.73E-04
480,2.42E-01,7.98E-01,1.48E-03,4.10E-04,5.30E-04
481,2.46E-01,8.19E-01,1.19E-03,5.93E-04,4.13E-04
482,2.49E-01,8.30E-01,9.13E-04,9.28E-04,3.22E-04
483,2.53E-01,8.40E-01,7.08E-04,1.43E-03,2.61E-04
484,2.57E-01,8.52E-01,5.54E-04,1.72E-03,2.25E-04
485,2.59E-01,8.55E-01,4.14E-04,1.39E-03,2.09E-04
486,2.63E-01,8.65E-01,3.29E-04,8.42E-04,2.17E-04
487,2.66E-01,8.76E-01,2.87E-04,5.39E-04,2.55E-04
488,2.70E-01,8.90E-01,2.70E-04,3.84E-04,3.46E-04
489,2.73E-01,9.01E-01,2.52E-04,2.78E-04,5.24E-04
490,2.77E-01,9.11E-01,2.41E-04,2.04E-04,8.48E-04
491,2.80E-01,9.23E-01,2.30E-04,1.41E-04,1.38E-03
492,2.83E-01,9.31E-01,2.52E-04,9.27E-05,2.15E-03
493,2.86E-01,9.42E-01,2.90E-04,6.76E-05,3.10E-03
494,2.89E-01,9.50E-01,3.03E-04,5.87E-05,4.06E-03
495,2.93E-01,9.63E-01,3.31E-04,5.31E-05,4.83E-03
496,2.98E-01,9.78E-01,4.03E-04,5.61E-05,5.21E-03
497,3.01E-01,9.83E-01,4.80E-04,6.73E-05,5.08E-03
498,3.04E-01,9.90E-01,5.97E-04,6.61E-05,4.59E-03
499,3.07E-01,9.94E-01,8.09E-04,8.05E-05,3.97E-03
500,3.11E-01,9.98E-01,1.15E-03,1.11E-04,3.44E-03
501,3.14E-01,9.99E-01,1.66E-03,1.49E-04,3.10E-03
502,3.17E-01,1.00E+00,2.49E-03,2.06E-04,2.98E-03
503,3.20E-01,9.96E-01,3.81E-03,3.07E-04,2.98E-03
504,3.22E-01,9.91E-01,5.88E-03,4.78E-04,3.02E-03
505,3.25E-01,9.80E-01,9.16E-03,6.88E-04,2.98E-03
506,3.29E-01,9.64E-01,1.43E-02,7.77E-04,2.83E-03
507,3.31E-01,9.36E-01,2.19E-02,6.24E-04,2.56E-03
508,3.34E-01,8.96E-01,3.31E-02,4.09E-04,2.22E-03
509,3.37E-01,8.45E-01,4.94E-02,2.72E-04,1.88E-03
510,3.40E-01,7.81E-01,7.22E-02,1.99E-04,1.55E-03
511,3.43E-01,7.10E-01,1.04E-01,1.50E-04,1.30E-03
512,3.47E-01,6.33E-01,1.49E-01,9.54E-05,1.10E-03
513,3.51E-01,5.54E-01,2.07E-01,5.49E-05,9.60E-04
514,3.53E-01,4.74E-01,2.75E-01,3.81E-05,8.47E-04
515,3.57E-01,4.01E-01,3.46E-01,2.50E-05,7.55E-04
516,3.59E-01,3.34E-01,4.11E-01,1.67E-05,6.67E-04
517,3.60E-01,2.76E-01,4.69E-01,1.15E-05,5.81E-04
518,3.62E-01,2.26E-01,5.21E-01,1.17E-05,4.97E-04
519,3.62E-01,1.85E-01,5.68E-01,1.21E-05,4.16E-04
520,3.63E-01,1.51E-01,6.14E-01,6.94E-06,3.42E-04
521,3.63E-01,1.24E-01,6.54E-01,3.35E-06,2.78E-04
522,3.63E-01,1.02E-01,6.89E-01,1.30E-06,2.26E-04
523,3.63E-01,8.43E-02,7.18E-01,6.22E-06,1.87E-04
524,3.62E-01,7.02E-02,7.39E-01,2.06E-06,1.59E-04
525,3.64E-01,5.91E-02,7.57E-01,1.49E-05,1.43E-04
526,3.65E-01,5.03E-02,7.72E-01,2.01E-05,1.35E-04
527,3.68E-01,4.32E-02,7.86E-01,1.84E-05,1.36E-04
528,3.71E-01,3.74E-02,7.96E-01,2.11E-05,1.46E-04
529,3.75E-01,3.26E-02,8.07E-01,4.70E-05,1.66E-04
530,3.79E-01,2.85E-02,8.14E-01,8.29E-05,2.02E-04
531,3.84E-01,2.53E-02,8.19E-01,1.12E-04,2.61E-04
532,3.88E-01,2.25E-02,8.21E-01,1.60E-04,3.53E-04
533,3.90E-01,2.02E-02,8.18E-01,2.37E-04,4.96E-04
534,3.93E-01,1.83E-02,8.15E-01,3.44E-04,7.12E-04
535,3.95E-01,1.67E-02,8.11E-01,4.84E-04,1.02E-03
536,3.94E-01,1.53E-02,8.05E-01,6.30E-04,1.40E-03
537,3.94E-01,1.42E-02,8.04E-01,7.03E-04,1.84E-03
538,3.93E-01,1.33E-02,8.03E-01,6.69E-04,2.26E-03
539,3.92E-01,1.24E-02,8.04E-01,5.59E-04,2.57E-03
540,3.91E-01,1.17E-02,8.08E-01,4.41E-04,2.71E-03
541,3.92E-01,1.12E-02,8.17E-01,3.67E-04,2.67E-03
542,3.93E-01,1.08E-02,8.27E-01,3.01E-04,2.48E-03
543,3.96E-01,1.04E-02,8.42E-01,2.47E-04,2.20E-03
544,4.00E-01,1.00E-02,8.57E-01,2.14E-04,1.93E-03
545,4.04E-01,9.87E-03,8.71E-01,1.83E-04,1.72E-03
546,4.08E-01,9.72E-03,8.83E-01,1.60E-04,1.60E-03
547,4.13E-01,9.64E-03,8.96E-01,1.40E-04,1.61E-03
548,4.17E-01,9.63E-03,9.03E-01,1.41E-04,1.75E-03
549,4.20E-01,9.69E-03,9.08E-01,1.50E-04,2.06E-03
550,4.22E-01,9.80E-03,9.11E-01,1.60E-04,2.56E-03
551,4.24E-01,1.00E-02,9.13E-01,1.82E-04,3.27E-03
552,4.25E-01,1.03E-02,9.12E-01,2.07E-04,4.18E-03
553,4.26E-01,1.06E-02,9.09E-01,2.31E-04,5.23E-03
554,4.26E-01,1.09E-02,9.07E-01,2.72E-04,6.27E-03
555,4.28E-01,1.15E-02,9.10E-01,3.46E-04,7.16E-03
556,4.29E-01,1.21E-02,9.10E-01,4.12E-04,7.69E-03
557,4.31E-01,1.28E-02,9.12E-01,5.02E-04,7.81E-03
558,4.33E-01,1.37E-02,9.15E-01,6.18E-04,7.51E-03
559,4.35E-01,1.47E-02,9.22E-01,7.55E-04,6.95E-03
560,4.37E-01,1.58E-02,9.29E-01,9.08E-04,6.27E-03
561,4.39E-01,1.71E-02,9.37E-01,1.08E-03,5.64E-03
562,4.41E-01,1.87E-02,9.45E-01,1.24E-03,5.16E-03
563,4.42E-01,2.04E-02,9.52E-01,1.33E-03,4.86E-03
564,4.43E-01,2.25E-02,9.59E-01,1.37E-03,4.76E-03
565,4.45E-01,2.46E-02,9.67E-01,1.36E-03,4.82E-03
566,4.46E-01,2.68E-02,9.75E-01,1.29E-03,4.99E-03
567,4.48E-01,2.91E-02,9.82E-01,1.21E-03,5.22E-03
568,4.51E-01,3.15E-02,9.86E-01,1.14E-03,5.44E-03
569,4.53E-01,3.37E-02,9.91E-01,1.08E-03,5.61E-03
570,4.57E-01,3.55E-02,9.93E-01,1.01E-03,5.67E-03
571,4.60E-01,3.68E-02,9.96E-01,9.73E-04,5.61E-03
572,4.64E-01,3.79E-02,9.97E-01,9.45E-04,5.43E-03
573,4.68E-01,3.83E-02,9.96E-01,9.38E-04,5.16E-03
574,4.72E-01,3.82E-02,9.97E-01,9.38E-04,4.85E-03
575,4.75E-01,3.76E-02,9.98E-01,9.50E-04,4.53E-03
576,4.79E-01,3.67E-02,1.00E+00,9.91E-04,4.25E-03
577,4.80E-01,3.55E-02,9.99E-01,1.07E-03,4.02E-03
578,4.83E-01,3.41E-02,9.99E-01,1.15E-03,3.88E-03
579,4.85E-01,3.27E-02,9.99E-01,1.25E-03,3.82E-03
580,4.87E-01,3.14E-02,9.92E-01,1.42E-03,3.84E-03
581,4.88E-01,3.01E-02,9.80E-01,1.57E-03,3.93E-03
582,4.91E-01,2.89E-02,9.59E-01,1.76E-03,4.10E-03
583,4.94E-01,2.78E-02,9.23E-01,1.98E-03,4.31E-03
584,4.97E-01,2.69E-02,8.67E-01,2.24E-03,4.56E-03
585,5.00E-01,2.62E-02,7.91E-01,2.49E-03,4.81E-03
586,5.04E-01,2.57E-02,6.96E-01,2.74E-03,5.04E-03
587,5.09E-01,2.53E-02,5.87E-01,2.99E-03,5.23E-03
588,5.13E-01,2.50E-02,4.77E-01,3.19E-03,5.35E-03
589,5.17E-01,2.51E-02,3.76E-01,3.36E-03,5.39E-03
590,5.21E-01,2.53E-02,2.89E-01,3.46E-03,5.35E-03
591,5.24E-01,2.56E-02,2.19E-01,3.50E-03,5.24E-03
592,5.26E-01,2.60E-02,1.63E-01,3.51E-03,5.09E-03
593,5.29E-01,2.66E-02,1.22E-01,3.52E-03,4.92E-03
594,5.31E-01,2.72E-02,9.03E-02,3.45E-03,4.77E-03
595,5.33E-01,2.80E-02,6.72E-02,3.41E-03,4.63E-03
596,5.35E-01,2.92E-02,5.02E-02,3.39E-03,4.54E-03
597,5.38E-01,3.07E-02,3.79E-02,3.38E-03,4.51E-03
598,5.39E-01,3.23E-02,2.90E-02,3.38E-03,4.52E-03
599,5.41E-01,3.42E-02,2.25E-02,3.41E-03,4.58E-03
600,5.42E-01,3.64E-02,1.78E-02,3.49E-03,4.67E-03
601,5.45E-01,3.89E-02,1.42E-02,3.64E-03,4.78E-03
602,5.48E-01,4.17E-02,1.15E-02,3.81E-03,4.90E-03
603,5.51E-01,4.44E-02,9.47E-03,4.02E-03,4.98E-03
604,5.55E-01,4.73E-02,7.89E-03,4.32E-03,5.03E-03
605,5.57E-01,5.00E-02,6.60E-03,4.70E-03,5.01E-03
606,5.61E-01,5.25E-02,5.64E-03,5.18E-03,4.92E-03
607,5.63E-01,5.42E-02,4.81E-03,5.77E-03,4.76E-03
608,5.66E-01,5.43E-02,4.05E-03,6.50E-03,4.55E-03
609,5.69E-01,5.21E-02,3.38E-03,7.42E-03,4.29E-03
610,5.73E-01,4.70E-02,2.71E-03,8.69E-03,4.03E-03
611,5.76E-01,3.93E-02,2.05E-03,1.02E-02,3.75E-03
612,5.78E-01,2.99E-02,1.47E-03,1.23E-02,3.48E-03
613,5.81E-01,2.11E-02,9.95E-04,1.49E-02,3.25E-03
614,5.84E-01,1.36E-02,6.33E-04,1.83E-02,3.06E-03
615,5.86E-01,8.25E-03,3.82E-04,2.29E-02,2.90E-03
616,5.90E-01,4.84E-03,2.34E-04,2.91E-02,2.79E-03
617,5.94E-01,2.78E-03,1.38E-04,3.73E-02,2.72E-03
618,5.97E-01,1.61E-03,8.52E-05,4.83E-02,2.69E-03
619,6.02E-01,9.63E-04,5.35E-05,6.33E-02,2.70E-03
620,6.07E-01,5.96E-04,3.57E-05,8.36E-02,2.75E-03
621,6.12E-01,3.78E-04,2.50E-05,1.10E-01,2.83E-03
622,6.17E-01,2.49E-04,1.87E-05,1.45E-01,2.95E-03
623,6.24E-01,1.70E-04,1.43E-05,1.90E-01,3.09E-03
624,6.31E-01,1.20E-04,1.17E-05,2.45E-01,3.27E-03
625,6.38E-01,8.58E-05,9.66E-06,3.12E-01,3.46E-03
626,6.45E-01,6.40E-05,8.42E-06,3.86E-01,3.68E-03
627,6.51E-01,4.87E-05,7.63E-06,4.63E-01,3.89E-03
628,6.57E-01,3.81E-05,7.08E-06,5.32E-01,4.11E-03
629,6.62E-01,3.00E-05,6.67E-06,5.90E-01,4.31E-03
630,6.69E-01,2.45E-05,6.48E-06,6.37E-01,4.51E-03
631,6.73E-01,2.02E-05,6.30E-06,6.68E-01,4.67E-03
632,6.78E-01,1.69E-05,6.24E-06,6.90E-01,4.81E-03
633,6.82E-01,1.44E-05,6.21E-06,7.05E-01,4.91E-03
634,6.86E-01,1.27E-05,6.18E-06,7.17E-01,4.98E-03
635,6.90E-01,1.15E-05,6.15E-06,7.25E-01,5.02E-03
636,6.93E-01,1.06E-05,5.92E-06,7.33E-01,5.04E-03
637,6.98E-01,9.83E-06,5.51E-06,7.40E-01,5.04E-03
638,7.02E-01,9.29E-06,4.83E-06,7.46E-01,5.04E-03
639,7.06E-01,8.74E-06,4.07E-06,7.52E-01,5.05E-03
640,7.11E-01,8.31E-06,3.30E-06,7.58E-01,5.07E-03
641,7.16E-01,7.97E-06,2.63E-06,7.64E-01,5.11E-03
642,7.21E-01,7.59E-06,2.08E-06,7.67E-01,5.18E-03
643,7.28E-01,7.17E-06,1.68E-06,7.73E-01,5.28E-03
644,7.35E-01,6.87E-06,1.32E-06,7.77E-01,5.42E-03
645,7.41E-01,6.41E-06,1.04E-06,7.80E-01,5.59E-03
646,7.48E-01,6.09E-06,8.07E-07,7.81E-01,5.79E-03
647,7.55E-01,5.76E-06,6.56E-07,7.85E-01,6.03E-03
648,7.63E-01,5.63E-06,5.57E-07,7.90E-01,6.29E-03
649,7.71E-01,5.63E-06,5.04E-07,7.97E-01,6.57E-03
650,7.80E-01,5.67E-06,4.44E-07,8.03E-01,6.88E-03
651,7.88E-01,5.84E-06,4.06E-07,8.12E-01,7.19E-03
652,7.96E-01,6.13E-06,3.90E-07,8.20E-01,7.50E-03
653,8.03E-01,6.37E-06,3.87E-07,8.29E-01,7.81E-03
654,8.10E-01,6.83E-06,3.95E-07,8.39E-01,8.10E-03
655,8.17E-01,7.17E-06,3.88E-07,8.49E-01,8.37E-03
656,8.24E-01,7.53E-06,3.98E-07,8.60E-01,8.60E-03
657,8.32E-01,7.85E-06,4.12E-07,8.72E-01,8.81E-03
658,8.38E-01,8.24E-06,4.25E-07,8.83E-01,8.98E-03
659,8.45E-01,8.70E-06,4.36E-07,8.93E-01,9.11E-03
660,8.51E-01,9.17E-06,4.62E-07,9.05E-01,9.21E-03
661,8.57E-01,9.93E-06,5.12E-07,9.11E-01,9.28E-03
662,8.63E-01,1.10E-05,5.78E-07,9.22E-01,9.34E-03
663,8.68E-01,1.26E-05,6.90E-07,9.29E-01,9.36E-03
664,8.73E-01,1.48E-05,8.39E-07,9.35E-01,9.39E-03
665,8.78E-01,1.79E-05,1.08E-06,9.43E-01,9.42E-03
666,8.82E-01,2.16E-05,1.44E-06,9.47E-01,9.43E-03
667,8.85E-01,2.68E-05,1.89E-06,9.50E-01,9.46E-03
668,8.88E-01,3.34E-05,2.58E-06,9.55E-01,9.50E-03
669,8.93E-01,4.20E-05,3.50E-06,9.61E-01,9.57E-03
670,8.96E-01,5.20E-05,4.73E-06,9.65E-01,9.64E-03
671,8.99E-01,6.25E-05,6.10E-06,9.69E-01,9.74E-03
672,9.03E-01,7.29E-05,7.56E-06,9.75E-01,9.86E-03
673,9.06E-01,8.09E-05,8.93E-06,9.80E-01,1.00E-02
674,9.10E-01,8.44E-05,9.88E-06,9.84E-01,1.01E-02
675,9.12E-01,8.38E-05,1.01E-05,9.89E-01,1.03E-02
676,9.15E-01,7.84E-05,9.52E-06,9.92E-01,1.04E-02
677,9.18E-01,7.06E-05,8.38E-06,9.96E-01,1.05E-02
678,9.20E-01,6.26E-05,7.16E-06,9.99E-01,1.06E-02
679,9.22E-01,5.49E-05,5.92E-06,9.99E-01,1.07E-02
680,9.23E-01,4.81E-05,4.86E-06,1.00E+00,1.08E-02
681,9.24E-01,4.27E-05,3.98E-06,9.96E-01,1.08E-02
682,9.24E-01,3.81E-05,3.24E-06,9.90E-01,1.08E-02
683,9.27E-01,3.52E-05,2.81E-06,9.82E-01,1.08E-02
684,9.28E-01,3.34E-05,2.43E-06,9.65E-01,1.07E-02
685,9.29E-01,3.30E-05,2.18E-06,9.42E-01,1.06E-02
686,9.29E-01,3.43E-05,2.15E-06,9.11E-01,1.04E-02
687,9.28E-01,3.78E-05,2.22E-06,8.68E-01,1.03E-02
688,9.27E-01,4.49E-05,2.45E-06,8.15E-01,1.01E-02
689,9.26E-01,5.62E-05,2.94E-06,7.54E-01,9.85E-03
690,9.25E-01,7.10E-05,3.65E-06,6.85E-01,9.61E-03
691,9.26E-01,8.55E-05,4.15E-06,6.13E-01,9.36E-03
692,9.28E-01,1.01E-04,5.12E-06,5.41E-01,9.09E-03
693,9.29E-01,1.19E-04,6.03E-06,4.70E-01,8.81E-03
694,9.30E-01,1.37E-04,6.88E-06,4.04E-01,8.51E-03
695,9.31E-01,1.50E-04,7.79E-06,3.44E-01,8.22E-03
696,9.31E-01,1.53E-04,8.16E-06,2.90E-01,7.92E-03
697,9.31E-01,1.43E-04,7.75E-06,2.44E-01,7.64E-03
698,9.34E-01,1.22E-04,7.07E-06,2.05E-01,7.37E-03
699,9.34E-01,9.58E-05,5.73E-06,1.71E-01,7.10E-03
